conversation_hash,first_turn_cluster,basis,cluster_size,same_ip,kept_hash,collapsed,jaccard_to_kept,hashed_ip,timestamp,labels_final,final_source
337952e3991b11680787437113eb75ae,ft-02,jaccard,6,1,f8f602c75a192b161cd559a6e31d10b6,1,1.0,b45a5584b3855b35df8889a9c280eb7ac64847d16df0fc10c58bd64db17dcee7,2023-05-01 18:40:35+00:00,,elle
651f14ce225d9f3842a5dc2e622d3e65,ft-02,jaccard,6,1,f8f602c75a192b161cd559a6e31d10b6,1,1.0,b45a5584b3855b35df8889a9c280eb7ac64847d16df0fc10c58bd64db17dcee7,2023-05-01 18:41:41+00:00,,elle
8a0de5c9bdb3031d2f161f9841104e69,ft-02,jaccard,6,1,f8f602c75a192b161cd559a6e31d10b6,1,0.959,b45a5584b3855b35df8889a9c280eb7ac64847d16df0fc10c58bd64db17dcee7,2023-05-01 19:04:48+00:00,,elle
1e8afcd273dbf6a891b57fe9cb755e0a,ft-02,jaccard,6,1,f8f602c75a192b161cd559a6e31d10b6,1,0.959,b45a5584b3855b35df8889a9c280eb7ac64847d16df0fc10c58bd64db17dcee7,2023-05-01 19:43:44+00:00,,elle
be2a1408415f7f9d2b9a6cb19fc97e4e,ft-02,jaccard,6,1,f8f602c75a192b161cd559a6e31d10b6,1,0.959,b45a5584b3855b35df8889a9c280eb7ac64847d16df0fc10c58bd64db17dcee7,2023-05-01 19:48:13+00:00,,elle
beac5b9b900be906a71d3aea471fa58d,ft-03,jaccard,3,1,beac5b9b900be906a71d3aea471fa58d,0,1.0,3f67bbff4aec070a8403dbc6c0506573109eea7c57bdfe2d6a64129e07be7b5f,2023-05-03 08:24:04+00:00,Internet Access,elle
75956a97b3be1e2e9e1434a71a28b880,ft-03,jaccard,3,1,beac5b9b900be906a71d3aea471fa58d,1,1.0,3f67bbff4aec070a8403dbc6c0506573109eea7c57bdfe2d6a64129e07be7b5f,2023-05-03 08:33:00+00:00,Internet Access,elle
8ab38db05e12e690e423ae1bb7364c1d,ft-03,jaccard,3,1,beac5b9b900be906a71d3aea471fa58d,1,1.0,3f67bbff4aec070a8403dbc6c0506573109eea7c57bdfe2d6a64129e07be7b5f,2023-05-03 08:36:08+00:00,Internet Access,elle
06175d04fad92d05925f14150db14e85,ft-04,jaccard,3,1,06175d04fad92d05925f14150db14e85,0,1.0,780808cbf36abba6575b40db0609678be11c498215bb43231809eff0f739c2eb,2023-05-08 02:02:33+00:00,,elle
8440d5bada73dd0c0ff1b0640c580835,ft-04,jaccard,3,1,06175d04fad92d05925f14150db14e85,1,1.0,780808cbf36abba6575b40db0609678be11c498215bb43231809eff0f739c2eb,2023-05-09 15:29:40+00:00,,elle
a29bee91aac9789ea659616eda28b3e3,ft-04,jaccard,3,1,06175d04fad92d05925f14150db14e85,1,0.857,780808cbf36abba6575b40db0609678be11c498215bb43231809eff0f739c2eb,2023-05-09 17:00:45+00:00,,elle
edec19b2d18ce0ea2220744bd2f7a676,ft-05,jaccard,3,1,edec19b2d18ce0ea2220744bd2f7a676,0,1.0,2f0ab9b5551d646f42825ab6816054482a39cfde9043dca61607b0cf655037b3,2023-07-02 20:18:05+00:00,Internet Access,elle
5d9735f90d3ee4515f4e24428b72c8a1,ft-05,jaccard,3,1,edec19b2d18ce0ea2220744bd2f7a676,1,0.867,2f0ab9b5551d646f42825ab6816054482a39cfde9043dca61607b0cf655037b3,2023-07-02 21:29:11+00:00,Internet Access,elle
90828c2f843afbab5ddfa926d747e5e3,ft-05,jaccard,3,1,edec19b2d18ce0ea2220744bd2f7a676,1,0.835,2f0ab9b5551d646f42825ab6816054482a39cfde9043dca61607b0cf655037b3,2023-07-03 00:14:44+00:00,Internet Access,elle
90f13579f43f0018cd65dbd1acaa6f50,ft-06,jaccard,3,1,90f13579f43f0018cd65dbd1acaa6f50,0,1.0,47a8d614a5bef6f820c383c993d6de33637b96f5db0d1ddc55fee27468b4ca9a,2024-04-29 22:04:34+00:00,,elle
3d4fe2af7d067c527978d0ad062d0724,ft-06,jaccard,3,1,90f13579f43f0018cd65dbd1acaa6f50,1,1.0,47a8d614a5bef6f820c383c993d6de33637b96f5db0d1ddc55fee27468b4ca9a,2024-04-29 22:04:53+00:00,,elle
d72c6fc26411fcdc4c1df8abae643b0e,ft-06,jaccard,3,1,90f13579f43f0018cd65dbd1acaa6f50,1,0.893,47a8d614a5bef6f820c383c993d6de33637b96f5db0d1ddc55fee27468b4ca9a,2024-04-29 22:09:49+00:00,,elle
de61daf60acffbfd44d0cdde47e0fe66,ft-07,jaccard,2,1,de61daf60acffbfd44d0cdde47e0fe66,0,1.0,8a8c8f3cb377203a8c1beec5eb483f4b571f94fdc087f0d8678ded11aa34e6c5,2023-04-15 03:02:29+00:00,Internet Access,elle
1963dca4ce637b11faf14d0da06e8a55,ft-07,jaccard,2,1,de61daf60acffbfd44d0cdde47e0fe66,1,0.942,8a8c8f3cb377203a8c1beec5eb483f4b571f94fdc087f0d8678ded11aa34e6c5,2023-04-15 03:05:11+00:00,Internet Access,elle
76c8c5bdf305cfb7b6edbb703a110c20,ft-08,jaccard,2,1,76c8c5bdf305cfb7b6edbb703a110c20,0,1.0,8a8c8f3cb377203a8c1beec5eb483f4b571f94fdc087f0d8678ded11aa34e6c5,2023-04-16 00:09:24+00:00,Internet Access,elle
6c3b9963110b17b98ec0f83d0c4eef2c,ft-08,jaccard,2,1,76c8c5bdf305cfb7b6edbb703a110c20,1,0.857,8a8c8f3cb377203a8c1beec5eb483f4b571f94fdc087f0d8678ded11aa34e6c5,2023-04-16 00:11:52+00:00,Internet Access,elle
85ad3325483ea448ab60f5aa63ee0ba2,ft-09,jaccard,2,1,85ad3325483ea448ab60f5aa63ee0ba2,0,1.0,c64193f01ae80757102ac8be060548cb4803687804a54360aed84eb918adf233,2023-04-18 00:05:06+00:00,,elle
c31707de5241fe46f651e1b63b9265a3,ft-09,jaccard,2,1,85ad3325483ea448ab60f5aa63ee0ba2,1,1.0,c64193f01ae80757102ac8be060548cb4803687804a54360aed84eb918adf233,2023-04-18 01:02:25+00:00,,elle
0b8cfd83c611dc783b1b0d9ae64f9d4d,ft-10,jaccard,2,1,0b8cfd83c611dc783b1b0d9ae64f9d4d,0,1.0,3f67bbff4aec070a8403dbc6c0506573109eea7c57bdfe2d6a64129e07be7b5f,2023-05-01 14:31:52+00:00,Internet Access,elle
5d7361aa31893c8151e8b4ae50c537c1,ft-10,jaccard,2,1,0b8cfd83c611dc783b1b0d9ae64f9d4d,1,1.0,3f67bbff4aec070a8403dbc6c0506573109eea7c57bdfe2d6a64129e07be7b5f,2023-05-01 15:40:52+00:00,Internet Access,elle
3edaefd7d3343caf5d8962e60d11732e,ft-11,jaccard,2,1,3edaefd7d3343caf5d8962e60d11732e,0,1.0,dacbb8943e91ba092526b9821c6e585e72b58e4465ceff69ad44a6c204036fe6,2023-05-01 17:13:08+00:00,,elle
0c7d3ea9f8cd5ef22909cd0a91066dc6,ft-11,jaccard,2,1,3edaefd7d3343caf5d8962e60d11732e,1,0.989,dacbb8943e91ba092526b9821c6e585e72b58e4465ceff69ad44a6c204036fe6,2023-05-02 10:47:04+00:00,Internet Access,elle
0d64dd5f74fb62747bf467b4f8a9236b,ft-12,jaccard,2,1,0d64dd5f74fb62747bf467b4f8a9236b,0,1.0,e0fc067dde3fb8482fd383e6cde7bf238631960950e3f07259593d713272ce77,2023-05-09 19:13:23+00:00,,elle
b829620b7568f432360306e8206e15fa,ft-12,jaccard,2,1,0d64dd5f74fb62747bf467b4f8a9236b,1,0.88,e0fc067dde3fb8482fd383e6cde7bf238631960950e3f07259593d713272ce77,2023-05-09 19:41:27+00:00,Internet Access,elle
95fd17ceed0b0ce4cca82950f561bfb4,ft-13,jaccard,2,1,95fd17ceed0b0ce4cca82950f561bfb4,0,1.0,cf0f77cbbb30bf6218f51d7070df705dc949d3239c75eb140c9f2afa5bbf5eb3,2023-05-14 09:52:43+00:00,Internet Access,elle
72a5fdd202e39658723b5d0708b031aa,ft-13,jaccard,2,1,95fd17ceed0b0ce4cca82950f561bfb4,1,0.857,cf0f77cbbb30bf6218f51d7070df705dc949d3239c75eb140c9f2afa5bbf5eb3,2023-05-14 18:22:02+00:00,Internet Access,elle
cab21905bc7b94b52fa02ad8e2ba8135,ft-14,jaccard,2,1,cab21905bc7b94b52fa02ad8e2ba8135,0,1.0,f3972362f6760add998e1d21576ba72412b3f014d7675e2300dce422e9de9d09,2023-05-24 08:33:50+00:00,,elle
bcf6d2311af83573f9b9ba8a1326001a,ft-14,jaccard,2,1,cab21905bc7b94b52fa02ad8e2ba8135,1,1.0,f3972362f6760add998e1d21576ba72412b3f014d7675e2300dce422e9de9d09,2023-05-24 11:04:27+00:00,Internet Access,elle
95973015f88c20505f517ec9aaee1b27,ft-15,jaccard,2,1,95973015f88c20505f517ec9aaee1b27,0,1.0,c857c8d3b2c95cd61b401ed2b81ea28a9ee41db5b34b08c3231f84cf27117e9e,2023-06-04 15:07:46+00:00,Internet Access,elle
9d3597f44362424428486c539a9d0f09,ft-15,jaccard,2,1,95973015f88c20505f517ec9aaee1b27,1,0.851,c857c8d3b2c95cd61b401ed2b81ea28a9ee41db5b34b08c3231f84cf27117e9e,2023-06-04 19:05:56+00:00,Internet Access,elle
78ba4575138260141437cdc6d7789bcb,ft-16,jaccard,2,1,78ba4575138260141437cdc6d7789bcb,0,1.0,d85026d4cfffe7bbc334987b6724267e0167865be359e11db865d4a734231b20,2023-06-08 10:40:11+00:00,,elle
4414ad6a81cb2112a679c204cbbb3b66,ft-16,jaccard,2,1,78ba4575138260141437cdc6d7789bcb,1,0.99,d85026d4cfffe7bbc334987b6724267e0167865be359e11db865d4a734231b20,2023-06-08 11:54:59+00:00,,elle
9ab1403444c28185c6be46addad51b17,ft-17,jaccard,2,1,9ab1403444c28185c6be46addad51b17,0,1.0,965a6f20893f2bf47e9db08d9ba57e845af57cd16eb9d5125ae5840dbdf2bb85,2023-07-06 21:19:48+00:00,,elle
5f9aee68c39ab7f23c6aaa4dbae4e1e8,ft-17,jaccard,2,1,9ab1403444c28185c6be46addad51b17,1,0.92,965a6f20893f2bf47e9db08d9ba57e845af57cd16eb9d5125ae5840dbdf2bb85,2023-07-07 08:17:03+00:00,,elle
bc194f978f9846c52cb3a248ebcc8bcc,ft-18,jaccard,2,1,bc194f978f9846c52cb3a248ebcc8bcc,0,1.0,d5d0c022a440c9727b2034c8caa92f8752709c1d5c4115c5dee5b7eb95d840e2,2023-08-04 12:24:39+00:00,,elle
d1031fb49535737a4c08f19023f42e79,ft-18,jaccard,2,1,bc194f978f9846c52cb3a248ebcc8bcc,1,0.916,d5d0c022a440c9727b2034c8caa92f8752709c1d5c4115c5dee5b7eb95d840e2,2023-08-04 13:07:31+00:00,,elle
b6025526afeb86344f45d2d4333966ab,ft-19,jaccard,2,1,b6025526afeb86344f45d2d4333966ab,0,1.0,33e20fdd0006eaa3342c49ac560b99afb2bc65dd8bae4721b0b537f3b4eac869,2023-08-13 02:57:23+00:00,,elle
1d623970eae5ffabeff56042b6eb34b9,ft-19,jaccard,2,1,b6025526afeb86344f45d2d4333966ab,1,0.833,33e20fdd0006eaa3342c49ac560b99afb2bc65dd8bae4721b0b537f3b4eac869,2023-08-13 04:56:38+00:00,,elle
23d153c33c9f1b32d1be0d02607f8681,ft-20,jaccard,2,1,23d153c33c9f1b32d1be0d02607f8681,0,1.0,d5d0c022a440c9727b2034c8caa92f8752709c1d5c4115c5dee5b7eb95d840e2,2023-08-16 19:50:16+00:00,,elle
606df57539622667d4738ce49a624a10,ft-20,jaccard,2,1,23d153c33c9f1b32d1be0d02607f8681,1,0.828,d5d0c022a440c9727b2034c8caa92f8752709c1d5c4115c5dee5b7eb95d840e2,2023-08-21 11:39:07+00:00,,elle
6cb63b3b2c2bdaf906e8ca16c69564a3,ft-21,jaccard,2,1,6cb63b3b2c2bdaf906e8ca16c69564a3,0,1.0,2d6cc1e2bfda8439f7f31815dfe483685278b3cfcf5cd36d6d3fed3ff3f33327,2023-09-28 03:55:35+00:00,,elle
43c903ef688733890a8cac6b073c3dd9,ft-21,jaccard,2,1,6cb63b3b2c2bdaf906e8ca16c69564a3,1,0.883,2d6cc1e2bfda8439f7f31815dfe483685278b3cfcf5cd36d6d3fed3ff3f33327,2023-09-28 04:00:32+00:00,,elle
bd4e5e60dc5c721c020cb7cca51fe142,ft-22,jaccard,2,1,bd4e5e60dc5c721c020cb7cca51fe142,0,1.0,9205195c53aa3a0e50e598a79ba122d802b0752db033b3d7f035184cc1f06839,2023-09-30 23:38:29+00:00,Code Execution,round1_majority
dcc172df91f718ee6cdbaf7f43c46ce6,ft-22,jaccard,2,1,bd4e5e60dc5c721c020cb7cca51fe142,1,1.0,9205195c53aa3a0e50e598a79ba122d802b0752db033b3d7f035184cc1f06839,2023-10-01 20:28:14+00:00,Code Execution,elle
df0f16f89a0dc36a4533cbffea72f89e,ft-23,jaccard,2,1,df0f16f89a0dc36a4533cbffea72f89e,0,1.0,c8d7ad58dc11259b35e69abd78cf6f16544413c9719557f483f4f14fe55d5bd0,2024-02-20 17:39:29+00:00,Internet Access,anchor
c797350d207bfb2a913e79764c81d05d,ft-23,jaccard,2,1,df0f16f89a0dc36a4533cbffea72f89e,1,0.84,c8d7ad58dc11259b35e69abd78cf6f16544413c9719557f483f4f14fe55d5bd0,2024-02-20 18:18:56+00:00,Internet Access,elle
24e78dee6228d72928d035be0628e308,ft-24,jaccard,2,1,24e78dee6228d72928d035be0628e308,0,1.0,890c6ddc4c46b5111f87b9398cf319cff9e31ceb15b76f086b615354eac89eba,2024-02-22 13:06:15+00:00,Internet Access,elle
7d5fce37d92d77a37600741fac9b4d3b,ft-24,jaccard,2,1,24e78dee6228d72928d035be0628e308,1,0.984,890c6ddc4c46b5111f87b9398cf319cff9e31ceb15b76f086b615354eac89eba,2024-02-22 13:07:47+00:00,Internet Access,elle
dfe81e9b71869665018e91d36a33e12c,ft-25,jaccard,2,1,dfe81e9b71869665018e91d36a33e12c,0,1.0,890c6ddc4c46b5111f87b9398cf319cff9e31ceb15b76f086b615354eac89eba,2024-02-24 18:14:12+00:00,Internet Access,elle
5b2893b5201ad4dbb5344a65ac4bb3c8,ft-25,jaccard,2,1,dfe81e9b71869665018e91d36a33e12c,1,0.929,890c6ddc4c46b5111f87b9398cf319cff9e31ceb15b76f086b615354eac89eba,2024-02-25 13:05:56+00:00,,elle
eea540cdc26621fd9f134b9e0cea9f13,ft-26,jaccard,2,1,eea540cdc26621fd9f134b9e0cea9f13,0,1.0,ce6d91e1665a1a3c45a1898f8c6f04ba053208c4b68906c9bc0ce599f4f49d8a,2024-03-14 15:54:09+00:00,Internet Access,elle
bb909d9ae22ff53e4de1c574aee6b75b,ft-26,jaccard,2,1,eea540cdc26621fd9f134b9e0cea9f13,1,1.0,ce6d91e1665a1a3c45a1898f8c6f04ba053208c4b68906c9bc0ce599f4f49d8a,2024-03-18 16:04:57+00:00,Internet Access,elle
e308d57e92371926202aaf6c87c54768,ft-27,jaccard,2,1,e308d57e92371926202aaf6c87c54768,0,1.0,b5e8716ac87245c8ed1a703329bb6bd23b0bc1ea6e99cbd46768af29c0c72c93,2024-03-17 13:37:15+00:00,,elle
5a40a8d387b83a10278ab3e26b0e115e,ft-27,jaccard,2,1,e308d57e92371926202aaf6c87c54768,1,0.925,b5e8716ac87245c8ed1a703329bb6bd23b0bc1ea6e99cbd46768af29c0c72c93,2024-03-17 13:41:27+00:00,,elle
eab6102d755582f809a534d3d7d86656,ft-28,jaccard,2,1,eab6102d755582f809a534d3d7d86656,0,1.0,1aadd233c6e944e65e4c70d3db3281f50eb6e2eac4eee789a47338355f0ea0ce,2024-03-18 18:16:50+00:00,,elle
4ebe8b693a9062dccc5e448ac2b09938,ft-28,jaccard,2,1,eab6102d755582f809a534d3d7d86656,1,0.953,1aadd233c6e944e65e4c70d3db3281f50eb6e2eac4eee789a47338355f0ea0ce,2024-03-21 16:11:55+00:00,,elle
1c68f8749e84e6074ce1ddc24004b041,ft-29,jaccard,2,1,1c68f8749e84e6074ce1ddc24004b041,0,1.0,d5e5d063e5c21cf30cc77b3896918a6ff593b1508dda7494b08438e291ec15cb,2024-04-04 06:06:03+00:00,Code Execution,elle
67886a5dfdafa42e14be188972ddbc15,ft-29,jaccard,2,1,1c68f8749e84e6074ce1ddc24004b041,1,0.922,d5e5d063e5c21cf30cc77b3896918a6ff593b1508dda7494b08438e291ec15cb,2024-04-04 20:59:33+00:00,Algebra,elle
0d4fdb965527900d8d7b19924fae8206,ft-30,jaccard,2,1,0d4fdb965527900d8d7b19924fae8206,0,1.0,def873eaf3ad3e94b22ae4704c5600d27ceb37d7a5b63f4dbab35dc9b9f0bf2c,2024-04-16 18:22:26+00:00,Internet Access,elle
f8ad20eab7c20c68119cf4591e6c97db,ft-30,jaccard,2,1,0d4fdb965527900d8d7b19924fae8206,1,0.877,def873eaf3ad3e94b22ae4704c5600d27ceb37d7a5b63f4dbab35dc9b9f0bf2c,2024-04-16 18:25:03+00:00,Internet Access,elle
b8ac52267b44849d968a65f46b371933,ft-31,jaccard,2,1,b8ac52267b44849d968a65f46b371933,0,1.0,def873eaf3ad3e94b22ae4704c5600d27ceb37d7a5b63f4dbab35dc9b9f0bf2c,2024-04-16 18:57:59+00:00,,elle
b5877f140fb4ac5e524a0d4a2b598c1a,ft-31,jaccard,2,1,b8ac52267b44849d968a65f46b371933,1,0.935,def873eaf3ad3e94b22ae4704c5600d27ceb37d7a5b63f4dbab35dc9b9f0bf2c,2024-04-16 19:22:58+00:00,Internet Access,elle
58a72d57f1075cf159d7634fbb72e5c1,ft-32,jaccard,2,1,58a72d57f1075cf159d7634fbb72e5c1,0,1.0,890c6ddc4c46b5111f87b9398cf319cff9e31ceb15b76f086b615354eac89eba,2024-04-17 09:58:01+00:00,Internet Access,elle
2c3fc5411998edc4b630f9c3841bec9c,ft-32,jaccard,2,1,58a72d57f1075cf159d7634fbb72e5c1,1,0.987,890c6ddc4c46b5111f87b9398cf319cff9e31ceb15b76f086b615354eac89eba,2024-04-17 10:03:00+00:00,Internet Access,elle
